OUT,MID1,MID2,MID3,MID4,MID5,MID6,MID7,MID8,MID9,kingdom,phylum,classes,phylogeny
67,99,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Geodermatophilaceae Blastococcus"
68,17,0,3,0,5,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Geodermatophilaceae Geodermatophilus"
69,0,0,1,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Glycomycetaceae Haloglycomyces"
70,0,0,0,0,0,0,18,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Arsenicicoccus"
71,0,0,1,0,0,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Fodinibacter"
72,0,0,0,0,0,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Humibacillus"
73,0,0,0,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Humihabitans"
74,2,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Kribbia"
75,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Marihabitans"
76,0,0,0,0,1,0,4,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Ornithinicoccus"
77,0,0,0,0,0,0,203,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Ornithinimicrobium"
78,0,0,6,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Oryzihumus"
79,0,4,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Terracoccus"
80,0,0,0,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Jonesiaceae Jonesia"
81,0,1,37,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Cryobacterium"
82,2,0,1,1,7,0,1,0,1,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Frondihabitans"
83,0,0,1,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Glaciibacter"
84,0,1,3,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Gulosibacter"
85,0,0,0,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Humibacter"
86,0,1,4,0,7,0,2,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Klugiella"
87,0,0,1,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Labedella"
88,0,1,0,0,10,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Microbacterium"
89,0,1,9,0,0,0,26,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Microterricola"
